county,precinct,office,district,party,candidate,votes,early_voting,election_day
Medina,1A,REFERENDA ITEM 1,,DEM,AGAINST,6,3,3
Medina,1A,REFERENDA ITEM 2,,DEM,FOR,40,23,17
Medina,1A,REFERENDA ITEM 2,,DEM,AGAINST,3,2,1
Medina,1A,REFERENDA ITEM 3,,DEM,FOR,40,23,17
Medina,1A,REFERENDA ITEM 3,,DEM,AGAINST,5,3,2
Medina,1A,REFERENDA ITEM 4,,DEM,FOR,37,23,14
Medina,1A,REFERENDA ITEM 4,,DEM,AGAINST,4,2,2
Medina,1A,REFERENDA ITEM 5,,DEM,FOR,34,19,15
Medina,1A,REFERENDA ITEM 5,,DEM,AGAINST,10,6,4
Medina,1A,REFERENDA ITEM 6,,DEM,FOR,39,24,15
Medina,1A,REFERENDA ITEM 6,,DEM,AGAINST,6,2,4
Medina,1B,Registered Voters - Total,,,,1465,,
Medina,1B,President,,REP,Carly Fiorina,1,0,1
Medina,1B,President,,REP,Rick Santorum,0,0,0
Medina,1B,President,,REP,Marco Rubio,88,48,40
Medina,1B,President,,REP,Rand Paul,1,0,1
Medina,1B,President,,REP,Mike Huckabee,0,0,0
Medina,1B,President,,REP,Elizabeth Gray,0,0,0
Medina,1B,President,,REP,Chris Christie,0,0,0
Medina,1B,President,,REP,Jeb Bush,7,6,1
Medina,1B,President,,REP,Ted Cruz,298,178,120
Medina,1B,President,,REP,Lindsey Graham,0,0,0
Medina,1B,President,,REP,Ben Carson,16,10,6
Medina,1B,President,,REP,Donald J. Trump,168,101,67
Medina,1B,President,,REP,John R. Kasich,20,15,5
Medina,1B,President,,REP,Uncommitted,4,4,0
Medina,1B,President,,DEM,Willie L. Wilson,0,0,0
Medina,1B,President,,DEM,Star Locke,0,0,0
Medina,1B,President,,DEM,Hillary Clinton,29,16,13
Medina,1B,President,,DEM,Keith Judd,0,0,0
Medina,1B,President,,DEM,"Roque ""Rocky"" De La Fuente",0,0,0
Medina,1B,President,,DEM,Martin J. O'Malley,1,1,0
Medina,1B,President,,DEM,Calvis L. Hawes,0,0,0
Medina,1B,President,,DEM,Bernie Sanders,18,11,7
Medina,1B,U.S. House,23,REP,"William ""Hart"" Peterson",99,58,41
Medina,1B,U.S. House,23,REP,Will Hurd,468,286,182
Medina,1B,U.S. House,23,DEM,Lee Keenen,6,3,3
Medina,1B,U.S. House,23,DEM,Pete P. Gallego,39,25,14
Medina,1B,Railroad Commissioner,,REP,Gary Gates,169,115,54
Medina,1B,Railroad Commissioner,,REP,John Greytok,15,10,5
Medina,1B,Railroad Commissioner,,REP,Weston Martinez,23,14,9
Medina,1B,Railroad Commissioner,,REP,Ron Hale,67,34,33
Medina,1B,Railroad Commissioner,,REP,Lance N. Christian,44,28,16
Medina,1B,Railroad Commissioner,,REP,Doug Jeffrey,38,21,17
Medina,1B,Railroad Commissioner,,REP,Wayne Christian,132,79,53
Medina,1B,Railroad Commissioner,,DEM,Lon Burnam,6,5,1
Medina,1B,Railroad Commissioner,,DEM,Grady Yarbrough,18,13,5
Medina,1B,Railroad Commissioner,,DEM,Cody Garrett,14,7,7
Medina,1B,"Justice, Supreme Court Place 3",,REP,Debra Lehmann,313,195,118
Medina,1B,"Justice, Supreme Court Place 3",,REP,Micahel Massengale,184,112,72
Medina,1B,"Justice, Supreme Court Place 3",,DEM,Mike Westergren,33,21,12
Medina,1B,"Justice, Supreme Court Place 5",,REP,Rick Green,242,133,109
Medina,1B,"Justice, Supreme Court Place 5",,REP,Paul Green,245,166,79
Medina,1B,"Justice, Supreme Court Place 5",,DEM,Dori Contreras Garza,35,24,11
Medina,1B,"Justice, Supreme Court Place 9",,REP,Joe Pool,262,158,104
Medina,1B,"Justice, Supreme Court Place 9",,REP,Eva Guzman,231,149,82
Medina,1B,"Justice, Supreme Court Place 9",,DEM,Savannah Robinson,32,21,11
Medina,1B,"Judge, Court of Criminal Appeals Place 2",,REP,Ray Wheless,145,84,61
Medina,1B,"Judge, Court of Criminal Appeals Place 2",,REP,Mary Lou Keel,208,140,68
Medina,1B,"Judge, Court of Criminal Appeals Place 2",,REP,Chris Oldner,105,58,47
Medina,1B,"Judge, Court of Criminal Appeals Place 2",,DEM,"Lawerence ""Larry"" Meyers",31,20,11
Medina,1B,"Judge, Court of Criminal Appeals Place 5",,REP,Scott Walker,180,98,82
Medina,1B,"Judge, Court of Criminal Appeals Place 5",,REP,Brent Webster,50,30,20
